path,modality,study,status,transfer_syntax,width,height,components,bits_allocated,frames,src_bytes,j2k_bytes,enc_seconds,dec_seconds,detail
LocalDatasets/medical-dicom-organized/ct/study_004/instance_001015.dcm,ct,study_004,OK,1.2.840.10008.1.2.1,555,512,1,0,1,572764,283950,0.169,0.0909,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_002554.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,1180,1,0,1,1212814,262274,0.2841,0.0927,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_000983.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528882,272844,0.212,0.1059,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_002546.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,1180,1,0,1,1212812,262751,0.2307,0.0376,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_002616.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528888,144693,0.1102,0.0402,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001330.dcm,mr,study_005,OK,1.2.840.10008.1.2,192,192,1,0,1,167444,12410,0.0834,0.0201,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_000251.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528834,149614,0.169,0.0265,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_001367.dcm,mr,study_002,OK,1.2.840.10008.1.2,180,180,1,0,1,174286,14075,0.091,0.0142,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_000373.dcm,mr,study_003,OK,1.2.840.10008.1.2,320,290,1,0,1,303742,61220,0.1592,0.0255,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000202.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528866,242922,0.1878,0.0412,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_001209.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528864,147573,0.2064,0.0367,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_002479.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,561650,158395,0.1924,0.0515,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_000614.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,771,512,1,0,1,794082,345985,0.2572,0.0506,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_003115.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528914,147816,0.1423,0.0453,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_001826.dcm,mr,study_004,OK,1.2.840.10008.1.2,216,256,1,0,1,217876,39782,0.0995,0.0196,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_005155.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528962,255459,0.13,0.0388,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002970.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528966,283059,0.1397,0.0334,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001872.dcm,mr,study_005,OK,1.2.840.10008.1.2,512,512,1,0,1,619464,69686,0.1786,0.0318,
